1008, 1, 2450, 1073, 1785, 1792, 3295:	-293423.69167022407, 706769.7380408309, -327.0814063168548, -289222.3889397081, -390.3684993994865, -209.00367353229842, -123197.20385165009
2640, 2, 3412, 1957, 1282, 1454, 1199:	-529976.1392973925, 2111609.7479840997, -323320.38733266917, -291618.2339446944, -354020.4011018729, -261440.07621579058, -351234.51009168
3, 1010, 1091, 3320, 2618, 2109, 1439:	2098482.0615429454, -397502.55096358916, -327282.766729899, -317746.75322945707, -344793.6478597323, -312995.5361498771, -398160.8066103908
1201, 4, 2454, 1771, 1788, 1262:	-352084.0550612914, 802834.503491337, -267.8871092944813, -269.32496384339737, -317.19166124181686, -449896.0446956659
1012, 5, 2982, 3882, 1071, 2398, 1775:	-352121.78009006946, 802806.380516913, -194.49418631146852, -262.56377382268926, -449957.77664405276, -155.37778359601174, -114.388039060765
1280, 1203, 6, 1871, 3324, 2621, 1471:	-383897.7208782081, -474672.06717615214, 2281716.2092457893, -748511.5953136099, -130167.40667670738, -398131.56445408566, -146335.85474702658
1089, 2596, 1461, 1014, 7, 3220, 2036:	-368449.88063227467, -395323.43276116863, -184110.83496466628, -479192.2974339426, 2261407.524559253, -123328.57034109802, -711002.5084261033
2401, 1762, 1205, 8, 2985, 1260:	-98.24864171263174, -723.7694539677132, -352107.481746936, 803051.3309100075, -216.80068130256444, -449905.0303860886
2368, 9, 1016, 1750, 1069:	-152.5617194014805, 805313.4659670525, -352010.556880896, -3023.5145789107155, -450126.83278784435
1972, 1207, 3224, 2599, 10, 1447, 1278:	-327133.9776057456, -383420.24342314, -363943.9966265984, -337618.49864452006, 2090048.5761069849, -348274.2300320425, -329657.62977493845
2146, 2516, 1477, 1018, 11, 3362, 1087:	-284375.56401302747, -454338.53475072305, -290773.27189641714, -361080.02484250563, 2099558.8462360473, -357244.67759164004, -351746.7731417337
2372, 1209, 1736, 1753, 1258, 12:	-269.3749898172311, -352078.9024583714, -175.17861169366537, -442.0110772826201, -449913.60724563064, 802879.0743827957
2420, 1717, 3607, 1065, 1020, 13, 2654, 3245:	-269.48448251678684, -131.36573255153067, -219.7346809020528, -289250.1924143358, -293622.93621923355, 706754.1354863972, -151.21326179574575, -123109.20869506159
1451, 1211, 2582, 1274, 3387, 14, 1935:	-270215.27758876863, -355730.7068617081, -523999.5022980395, -354935.61149917275, -319579.20907921565, 2111854.0842508157, -287393.7769239109
2560, 3195, 1435, 1022, 1083, 2094, 15:	-337620.17151183984, -363925.949501171, -348279.24485875375, -383432.9047202827, -329658.18248057755, -327136.7854286247, 2090053.2385012496
16, 2424, 1720, 1213, 1254:	805312.3591217296, -166.61746715902294, -3051.8542757386895, -352006.2706250644, -450087.6167537675
1024, 17, 2964, 1063, 2346, 1709:	-352107.481746936, 803051.3313644793, -216.79951209850344, -449905.0316364683, -98.24868579773208, -723.7697831787507
1855, 18, 2563, 1272, 1215, 1468, 3199:	-711012.58458923, 2261403.846359304, -395338.8616405235, -368445.0004423983, -479177.7954300614, -184097.6714676184, -123331.93278947257
1026, 19, 3846, 1081, 2538, 2027:	-226731.17400475434, 2218141.052421931, -689678.9694004738, -143275.19399478915, -377385.610455273, -781070.1045666409
1217, 1252, 2968, 20, 2349, 1694, 3871:	-352121.78009006946, -449957.77664405276, -194.49418631146852, 802806.380516913, -155.37778359601174, -114.388039060765, -262.5637738226893
1698, 1028, 21, 1687, 2316, 1061:	-269.32496384339737, -352084.0550612914, 802834.5034913368, -317.19166124181686, -267.8871092944813, -449896.0446956659
1968, 3345, 1443, 1270, 22, 2541, 1219:	-241834.99730897165, -302168.67155675695, -391183.1789738022, -338067.6629531913, 2103257.346480184, -461104.1287861094, -368898.70690135256
1474, 1030, 2502, 1079, 23, 2124, 3437:	-262275.71572317136, -351373.5412724175, -528334.5982948199, -353857.65825837303, 2111180.3746330063, -291562.39167982934, -323776.46940439544
2320, 1250, 1221, 3270, 24, 1690, 1677:	-327.0814063168548, -289118.74939787, -293387.2589676105, -123291.88449537847, 706724.3464401076, -390.3684993994865, -209.00367353229842
1032, 2667, 2695, 1480, 25, 1265, 2765:	-403348.2039237722, -3389870.1912819054, -730263.8458429539, -19076.527990372266, 5190916.46242973, -183960.69149169675, -464397.0018990296
3506, 1349, 2823, 2809, 26, 3548, 1375:	-415044.5609952066, -100003.49248613426, -188666.66885662274, -627525.3766642106, 3185783.659669258, -1131731.3554820302, -722812.2051850539
1376, 3487, 2842, 1034, 27, 2861, 3519:	-723281.846813357, -1105246.4299835465, -188666.66885662274, -109298.41275615792, 3165148.7830774463, -613550.7027496283, -425104.721918134
2016, 2743, 1240, 2681, 1351, 28, 2719:	-19076.527990372266, -465896.74459025345, -183727.62677408414, -3417013.5566834034, -402189.90878592187, 5216216.922381359, -728312.5575573242
1131, 1320, 2699, 1036, 29, 2798:	-67675.33474152112, -46.76536912020667, -170825.36772523855, -619946.9414430446, 858591.3891964281, -96.97991750376444
2802, 1075, 1037, 1372, 3138, 30, 2703:	-81.72177443419719, -346530.5018515477, -523073.8975815254, -600637.5073452807, -322.269641631667, 1673249.1658549765, -202603.2676605568
1056, 1041, 3509, 1335, 2949, 2827, 3694, 31:	-1144591.4554293165, -95563.06832418544, -134531.96333196753, -95497.27122877385, -219.17117520118785, -190111.60545199667, -199.66299442392392, 1660714.197935865
32, 3088, 1043, 3523, 1232, 2221, 2846, 1053:	1660676.5548969433, -200.98375891080553, -95497.28870806882, -134589.1705589572, -95528.01644151348, -217.7819735945857, -190111.60545199664, -1144531.7080039019
33, 2787, 2723, 1049, 1050, 1355, 3173:	1673123.5564348719, -189.59003402812536, -202819.99894484907, -600450.2224084635, -346397.6555797451, -523054.28500544507, -211.80446234133802
34, 1300, 2790, 1111, 2728, 1373:	858569.1046596317, -63.71006825504884, -65.83455374331142, -67666.43360056022, -170870.6315331609, -619902.4949039123
35, 2683, 2643, 2747, 1051, 1093, 1813:	2420067.462096535, -761630.8005587626, -434257.75080146163, -1076975.8209922216, -131706.16141729537, -15476.586472380252, -20.341854413722867
1264, 36, 1802, 1423, 1242, 1823:	-457809.55696967914, 804740.2931674904, -393.9892196370066, -21.39304955998782, -346165.9060170291, -349.44791158521053
